stt,ten_sp,gia_ban,doanh_so_365,so_luong_ban_365,tong_doanh_so,tong_luot_ban,tong_danh_gia,brand,phan_khuc_gia,pct_doanh_so,ti_le_danh_gia
124,"Sốt me chua ngọt Dh Foods gia vị chấm, chế biến hải sản, các món nướng lọ 200gr",25152,86424956,346,186508438,7469,1372,Dh Foods,Rẻ (<50k),0.03,0.1837
125,"Bộ 3 Tân Binh Canh ăn liền Sấy Thăng Hoa: Canh Gà Lá Giang, Canh Rau Tập Tàng, Canh Măng Chua",184000,85744000,4660,85744000,4660,640,I-soup,Cao (>150k),0.03,0.1373
126,Mì Ý Spaghetti Ottogi 500g,40420,85560250,218,204762550,5257,9910,Ottogi,Rẻ (<50k),0.03,1.8851
127,Thùng 6 chai nước mắm nhỉ cá cơm ruột đỏ Làng Chài Xưa 525ml/chai cá ngon vùng nước trồi 300 năm truyền thống,228000,8554500096,3580,180085600,7520,2520,Làng Chài Xưa,Cao (>150k),3.36,0.3351
128,"Sốt bò kho, bò sốt vang O'food gói 50g",11000,8545950017,7764,179178500,16272,2717,O'food,Rẻ (<50k),3.35,0.167
129,"Xốt Muối Kim Chi Barona 180g ướp ngon chuẩn vị không cần nêm nếm, Mua 3 tặng 1 gói",111000,85359000,7690,111219000,1002,1900,Barona,Trung (50-150k),0.03,1.8962
130,Combo 2 Nước Mắm Cá Cơm Thuận Phát 30 độ đạm 610ml,102000,85162400,8180,109474400,1052,2140,THUẬN PHÁT,Trung (50-150k),0.03,2.0342
131,Sa tế tôm Cholimex hũ pet 450g,33300,83971600,2362,96842100,2724,2090,Cholimex,Rẻ (<50k),0.03,0.7673
132,Thùng 6 Hộp Tương Ớt Gói Ông Chà Và 10gr (720 gói/thùng) Tiện Lợi Siêu Tiết Kiệm Cho Quán Ăn Và Nhà Hàng,322000,82800000,2340,170144000,4820,980,ÔngChàVà,Cao (>150k),0.03,0.2033
133,Nước mắm nhỉ 40 độ đạm Làng Chài Xưa nhãn vàng chai thủy tinh 500ml ủ chượp 2 lần không chất bảo quản,93000,82663000,8710,127838000,1347,2990,Làng Chài Xưa,Trung (50-150k),0.03,2.2197
134,Mì Bò Hầm Ottogi 8 gói,72192,82108200,118,330112940,4732,1014,Ottogi,Trung (50-150k),0.03,0.2143
135,Dầu hào Lee Kum Kee Premium Brand Oyster Sauce (510g/chai) loại đặc biệt với chiết xuất hàu lên đến 40%,108800,82066200,7230,117157900,1032,1930,Lee Kum Kee,Trung (50-150k),0.03,1.8702
136,Cá ngừ ngâm dầu Seaspimex 185g,28000,81477200,2911,100714200,3598,1650,Seaspimex Since 1993,Rẻ (<50k),0.03,0.4586
137,Nước mắm cá cơm Thuận Phát 40 độ đạm 610ml - Từ nước cốt nhĩ cá cơm Phú Quốc,66000,79988454,1178,100454781,1479,3360,THUẬN PHÁT,Trung (50-150k),0.03,2.2718
138,Combo Mì Ý 500g & Sốt Spaghetti Ottogi 220g,69466,7934723615,116,235330088,3479,9110,Ottogi,Trung (50-150k),3.11,2.6186
139,"Xốt Muối Kim Chi Hàn Quốc Barona 180g, Combo 3 gói Tặng 1 Hũ Thủy Tinh Cao Cấp (1 lít)",95460,78920540,7960,195344584,1968,5200,Barona,Trung (50-150k),0.03,2.6423
140,"Sa tế sò điệp Thích Cay 150g dùng trộn mì, hủ tiếu, phở",59000,7846800079,1258,122127500,2037,5260,THÍCH CAY,Trung (50-150k),3.08,2.5822
141,"Nước chấm đỏ Thích Cay, tương chấm thịt nướng, đồ nướng, chấm ăn lẩu, nước chấm ớt hiểm cay",59000,77944500,1348,486733825,8489,2256,THÍCH CAY,Trung (50-150k),0.03,0.2658
142,Tương ăn phở Lee Kum Kee Hoisin Sauce 567g (Nhập khẩu từ Mỹ),116800,76475800,6160,126425800,1019,1680,Lee Kum Kee,Trung (50-150k),0.03,1.6487
143,[Tặng 1 hộp nhựa cao cấp 2L] Combo 5 sốt muối kim chi và 1 sốt chấm thịt nướng O'food,185000,76347000,4040,78615000,4160,1400,O'food,Cao (>150k),0.03,0.3365
144,"Rau tiến vua khô tiện lợi, dai giòn, thanh mát 80g - 250g dùng trộn gỏi, nhúng lẩu",55000,75269000,1111,101488000,1503,2690,THÍCH CAY,Trung (50-150k),0.03,1.7898
145,Xốt ướp xá xíu Cholimex - Gói 70g tiện lợi,6750,72960000,9743,99414375,13279,4910,Cholimex,Rẻ (<50k),0.03,0.3698
146,"Hộp quà gia vị Dh Foods (có thể đóng theo yêu cầu riêng) làm quà biếu, tặng người thân, bạn bè",172000,7225848814,3950,171144235,8840,1580,Dh Foods,Cao (>150k),2.84,0.1787
147,Gia Vị Bò Kho Barona 80g ướp ngon chuẩn vị không cần nêm nếm,12800,70913156,5811,197467826,16421,1344,Barona,Rẻ (<50k),0.03,0.0818
148,Thùng Mì Mini Tương Đen Bắc Kinh Ottogi 83g,228000,70410000,3070,115715700,5070,1210,Ottogi,Cao (>150k),0.03,0.2387
149,"Cá ngừ ngâm dầu hộp lớn 1,8kg",250000,70000000,2800,107750000,4310,290,Seaspimex Since 1993,Cao (>150k),0.03,0.0673
150,Xốt Bún Bò Cholimex - Gói 90g tiện lợi,9450,69766200,6647,100167800,9545,3330,Cholimex,Rẻ (<50k),0.03,0.3489
151,Combo 2 Chai Dầu Ăn Hướng Dương Organic Nhập Khẩu Nga Vipep Chai 1L - Gia vị Vipep,215200,68505900,4670,135840850,9360,1830,Vipep,Cao (>150k),0.03,0.1955
152,Ớt khô sa tế Cholimex hũ TT 100g,16200,68479200295,39083,94455200,5393,5640,Cholimex,Rẻ (<50k),26.88,1.0458
153,Xốt teriyaki Ottogi 2.25kg,172302,68374581,4040,241172581,1437,2150,Ottogi,Cao (>150k),0.03,1.4962
154,"Nước tương đậu nành thượng hạng Lee Kum Kee Selected Light Soy Sauce 1,75L",107100,68007000,6380,108470500,1019,1340,Lee Kum Kee,Trung (50-150k),0.03,1.315
155,Nước Tương Cao Cấp Shiitake Làng Chài Xưa Độ Đạm Tự Nhiên Lên Men Từ Nấm Ngọt Nhât Và Đậu Nành 250ml/chai,79000,67295800,7960,145404200,1718,3010,Làng Chài Xưa,Trung (50-150k),0.03,1.752
156,Gia vị nấu bún bò huế Natural DH Foods nêm sẵn thành phần tự nhiên gói 25gr - DHGVT92,16096,67199272,4463,148367203,9878,6730,Dh Foods,Rẻ (<50k),0.03,0.6813
157,[ Cốt nhỉ đặc biệt - 30 độ đạm ] Thùng 6 chai nước mắm nhỉ Làng Chài Xưa Nhãn Đỏ 500ml/chai truyền thống vị gu ông bà,410000,66006000,1680,183391000,4870,1590,Làng Chài Xưa,Cao (>150k),0.03,0.3265
158,"Combo 6 canh ăn liền I.SOUP Hot: 2 Canh Riêu Tôm, 2 Canh Cải Chua, 2 Canh Cải Xoong",388000,65960000,1700,65960000,1700,230,I-soup,Cao (>150k),0.03,0.1353
